file	total	mapped	mapped_ratio	uniq_mapped	non-redundant_uniq_mapped	effect_ratio	useful_reads	PBC	nodup_ratio	number_of_reads_under_peak	rup_ratio	replicate_dif	marker
mm10_hindbrain_embryo_d11.5_PE_bio1_ENCLB044YJH_1	86375299	69416398	.80	68757933	59970088	.69	58755388	.05	.87	15169277	13.01	-4.97	ENCODE_PE
mm10_hindbrain_embryo_d11.5_PE_bio2_ENCLB819YMR_1	48785458	38266364	.78	37885873	33388823	.68	32416527	.15	.88	6629860	10.31	-4.29	ENCODE_PE
mm10_hindbrain_embryo_d12.5_PE_bio1_ENCLB264QMJ_1	52082703	41765449	.80	41382639	37659611	.72	36901151	.13	.91	9084049	12.42	-3.90	ENCODE_PE
mm10_hindbrain_embryo_d12.5_PE_bio2_ENCLB790VLV_1	53078621	42472011	.80	42061841	37990545	.71	37180635	.13	.90	9307498	12.63	-3.26	ENCODE_PE
mm10_hindbrain_embryo_d13.5_PE_bio1_ENCLB079ZQQ_1	44189469	35204142	.79	34913489	31206803	.70	30266809	.19	.89	8645913	14.43	-4.57	ENCODE_PE
mm10_hindbrain_embryo_d13.5_PE_bio2_ENCLB558GZX_1	42364518	33813586	.79	33524222	30136814	.71	29333834	.20	.89	8176337	14.07	-4.16	ENCODE_PE
mm10_hindbrain_embryo_d16.5_PE_bio1_ENCLB383AFC_1	44562754	39790102	.89	39513192	35594598	.79	34757288	.18	.90	12230668	17.77	-2.12	ENCODE_PE
mm10_hindbrain_embryo_d16.5_PE_bio2_ENCLB478RAK_1	53140917	48179030	.90	47902342	42508046	.79	41636024	.14	.88	16525586	20.05	-2.56	ENCODE_PE
mm10_hindbrain_postnatal_d0_PE_bio1_ENCLB625SZP_1	40755321	36332407	.89	36053467	32708309	.80	32125668	.17	.90	9593749	15.08	-1.79	ENCODE_PE
mm10_hindbrain_postnatal_d0_PE_bio2_ENCLB962LKQ_1	83791512	71257866	.85	70701654	56716944	.67	55044789	.07	.80	18636859	17.09	-2.58	ENCODE_PE
mm10_intestine_embryo_d15.5_PE_bio1_ENCLB298CHP_1	57818671	49597602	.85	49250484	43786222	.75	42760103		.88	18014935	21.31	-3.55	ENCODE_PE
mm10_intestine_embryo_d15.5_PE_bio2_ENCLB594LAJ_1	55554407	47494690	.85	47163023	41405834	.74	40230869		.87	17054928	21.43	-2.83	ENCODE_PE
mm10_intestine_embryo_d16.5_PE_bio1_ENCLB448PET_1	58056975	49212002	.84	48894932	42048380	.72	40522060		.85	20096948	25.10	-3.30	ENCODE_PE
mm10_intestine_embryo_d16.5_PE_bio2_ENCLB539OPC_1	56463898	47609655	.84	47293717	39994687	.70	38435636		.84	17386874	22.89	-3.02	ENCODE_PE
mm10_intestine_postnatal_d0_PE_bio1_ENCLB362STB_1	49454428	40952653	.82	40607274	33434776	.67	32166278		.82	11681458	18.48	-3.60	ENCODE_PE
mm10_intestine_postnatal_d0_PE_bio2_ENCLB199HRA_1	44646781	36620784	.82	36297122	29290099	.65	27815290		.80	8268976	15.10	-3.17	ENCODE_PE
mm10_kidney_embryo_15.5_PE_bio1_ENCLB874ZPR_1	42044382	33314078	.79	33036148	29440814	.70	28378416	.21	.89	7742761	13.77	-3.83	ENCODE_PE
mm10_kidney_embryo_15.5_PE_bio2_ENCLB024QLK_1	49443834	39567502	.80	39224294	33946951	.68	32719716	.17	.86	9158417	14.13	-3.69	ENCODE_PE
mm10_kidney_embryo_16.5_PE_bio1_ENCLB553FWL_1	46776162	35867366	.76	35600252	31312472	.66	30043062	.21	.87	10534239	17.71	-3.36	ENCODE_PE
mm10_kidney_embryo_16.5_PE_bio2_ENCLB698MZX_1	38328988	30385069	.79	30109028	27073046	.70	26312423	.23	.89	5929476	11.38	-2.82	ENCODE_PE
mm10_liver_embryo_d11.5_PE_bio1_ENCLB441LCB_1	38505907	29796011	.77	29557972	25517372	.66	24306856	.25	.86	7531003	15.71	-3.34	ENCODE_PE
mm10_liver_embryo_d11.5_PE_bio2_ENCLB479OGV_1	68272995	56853008	.83	56293188	45645889	.66	44010683	.09	.81	10730514	12.33	-3.90	ENCODE_PE
mm10_liver_embryo_d12.5_PE_bio1_ENCLB774WKA_1	66315169	55132937	.83	54708666	41507376	.62	39473948	.16	.75	18703802	24.16	-6.73	ENCODE_PE
mm10_liver_embryo_d12.5_PE_bio2_ENCLB090ADG_1	48348502	39816718	.82	39508986	29033885	.60	27272072	.22	.73	10522232	19.62	1.12	ENCODE_PE
mm10_liver_postnatal_d0_PE_bio1_ENCLB303HHQ_1	70091736	55306750	.78	54922006	38777633	.55	36609405	.25	.70	29572753	41.63	-8.98	ENCODE_PE
mm10_liver_postnatal_d0_PE_bio2_ENCLB282VPH_1	54588699	42147159	.77	41772155	27948091	.51	25903651	.26	.66	15697621	31.19	-8.88	ENCODE_PE
mm10_lung_postnatal_PE_bio1_ENCLB080OEI_1	64152873	49206317	.76	48755445	41966420	.65	40664816	.16	.86	23049954	28.75	-4.52	ENCODE_PE
mm10_lung_postnatal_PE_bio2_ENCLB071NVJ_1	51902255	40036109	.77	39678224	34194734	.65	32947384	.23	.86	20696538	31.90	-4.47	ENCODE_PE
mm10_midbrain_embryo_d11.5_PE_bio1_ENCLB534QZD_1	74018175	63486809	.85	62946399	55550516	.75	54382844		.88	18984054	17.61	-2.86	ENCODE_PE
mm10_midbrain_embryo_d11.5_PE_bio2_ENCLB664GGY_1	53219421	44917615	.84	44506281	39160672	.73	38030358		.87	9978365	13.24	-2.64	ENCODE_PE
mm10_midbrain_embryo_d13.5_PE_bio1_ENCLB091EMS_1	55307973	47228932	.85	46848675	40919632	.73	39852634		.87	14435791	18.30	-3.53	ENCODE_PE
mm10_midbrain_embryo_d13.5_PE_bio2_ENCLB849TXF_1	51449827	44222865	.85	43877034	38422470	.74	37534831		.87	14406726	19.39	-3.53	ENCODE_PE
mm10_midbrain_embryo_d15.5_PE_bio1_ENCLB738SGH_1	60200454	44153141	.73	43882564	38791422	.64	37743991		.88	14822352	19.85	-5.02	ENCODE_PE
mm10_midbrain_embryo_d15.5_PE_bio2_ENCLB782TSA_1	43550852	32173136	.73	31955516	29171658	.66	28338484	.23	.91	9985987	17.81	-4.57	ENCODE_PE
mm10_midbrain_embryo_d16.5_PE_bio1_ENCLB277UUA_1	52300091	39219035	.74	38963822	35229878	.67	34346943		.90	11925204	17.54	-4.16	ENCODE_PE
mm10_midbrain_embryo_d16.5_PE_bio2_ENCLB488AGB_1	37376936	26981011	.72	26790046	23537123	.62	22692393	.27	.87	7290002	16.24	-5.13	ENCODE_PE
mm10_neural_tube_embryo_PE_bio1_ENCLB448BWJ_1	47681374	34913387	.73	34708253	29178922	.61	28743118	.21	.84	11093892	19.51	-9.70	ENCODE_PE
mm10_neural_tube_embryo_PE_bio2_ENCLB671DSC_1	42220415	30567874	.72	30315764	25560696	.60	24922769	.20	.84	5020231	10.16	-8.37	ENCODE_PE
mm10_stomach_postnatal_PE_bio1_ENCLB490MGZ_1	63001963	53595293	.85	53112472	48237822	.76	47262669	.11	.90	12607888	13.47	-2.51	ENCODE_PE
mm10_stomach_postnatal_PE_bio2_ENCLB105JML_1	55360933	45140117	.81	44697651	38811181	.70	37207731	.15	.86	12463868	16.94	-3.43	ENCODE_PE
